TrialNumber,Ppn,DoorClicked,Won,TotalAmount,PAscore,NAscore,Time_msec
125,159,3,-0.91,-9.08,0.0793265007320644,0.519560761346999,1373133
126,159,0,-0.71,-9.79,0.291625183016105,0.797745241581259,1377638
127,159,1,-1.17,-10.96,0.5,0.5,1382012
128,159,0,0.54,-10.42,0.401434846266471,0.578125915080527,1387748
129,159,2,1.3,-9.12,0.0720058565153733,0.18281112737921,1393295
130,159,2,-0.77,-9.89,0.379472913616398,0.812386530014642,1398654
131,159,1,-1.39,-11.28,0.225739385065886,0.775783308931186,1403841
132,159,0,-0.65,-11.93,0.628374816983895,0.878272327964861,1408835
133,159,3,3.64,-8.29,0.738184480234261,0.46099560761347,1413724
134,159,3,0.52,-7.77,0.137891654465593,0.285300146412885,1419431
135,159,1,0.98,-6.79,0.145212298682284,0.197452415812592,1425038
136,159,0,-3.19,-9.98,0.298945827232797,0.73185944363104,1429743
137,159,2,-1.5,-11.48,0.298945827232797,0.80506588579795,1437863
138,159,0,3.32,-8.16,0.18913616398243,0.299941434846267,1443016
139,159,3,-3.77,-11.93,0.11592972181552,0.797745241581259,1448927
140,159,2,3.29,-8.64,0.5,0.5,1453413
141,159,1,3.16,-5.48,0.11592972181552,0.314582723279649,1459070
142,159,1,3.46,-2.02,0.18913616398243,0.234055636896047,1463895
143,159,0,2.01,-0.00999999999999712,0.269663250366032,0.241376281112738,1470667
144,159,3,3.19,3.18,0.364831625183016,0.175490483162519,1476778
145,159,1,-3.27,-0.0899999999999972,0.035402635431918,0.482957540263543,1482448
146,159,1,1.43,1.34,0.855314787701318,0.46099560761347,1487757
147,159,2,0.52,1.86,0.0866471449487555,0.0803221083455348,1493252
148,159,0,3.47,5.33,0.686939970717423,0.102284040995608,1498540
149,159,3,3.39,8.72,0.686939970717423,0.0510395314787705,1503619
150,159,1,0.62,9.34,0.247701317715959,0.190131771595901,1508774
151,159,1,-2.81,6.53,0.203777452415813,0.768462664714495,1513775
152,159,2,1.47,8,0.650336749633968,0.219414348462665,1518739
