"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Participant","SSE","AIC","BIC","sigma2_est"
0.749075108345623,0.22887234364978,0.0258356597645068,0.0201293236158777,-0.0486175168791075,-0.000557621489993331,-0.411128479521267,0.577862031728463,"36",29.0589465843061,-229.492225182223,-196.229539452914,0.206091819746851
0.190027452500523,0.636529024069354,0.0338756683930438,0.00753882416918865,-0.0977193512792715,-0.0122106692341515,0.0192193104174837,0.0237782817520169,"37",11.1263448004064,-375.41385251294,-342.151166783631,0.0789102468113928
0.272071916937364,0.77113388606668,0.050011478453312,0.00347362713938382,-0.00894021027542177,-0.00668366742848179,0.365292285220443,-0.119312579807799,"38",5.50767031528861,-482.296297202273,-449.033611472964,0.0390614915977916
0.223499717416861,0.104363947155993,0.0229573889739373,0.0259897720456893,-0.0566758104538446,-0.000369369930531923,0.056660364785959,0.852111875344232,"39",17.3918544569128,-307.517540952073,-274.254855222764,0.12334648551002
0.323618883367877,0.350384195405439,0.0676561925555218,0.00784692533230879,-0.0314706311363325,0.00184506469431357,0.290594397174394,0.328057559725282,"40",34.6349513052905,-202.810613687432,-169.547927958123,0.245637952519791
0.366906377355852,0.409509267290254,0.123174098289988,0.00329985584408224,-0.108228982130866,-0.004571102599427,0.259325357538168,0.210712786148379,"41",21.8289865277646,-272.977550107904,-239.714864378594,0.154815507289111
0.221194347084918,0.299785479786119,0.0684538539636437,0.0166106933725699,-0.0728773340543385,-0.00942888520882753,0.267714168263186,0.532355447080067,"42",4.61098575291048,-509.306706329541,-476.044020600232,0.0327020266163864
0.226374118126179,0.34983804737321,0.074230875099299,0.00695478617850183,-0.107689348217378,-0.00259091088533939,0.0868998086992506,0.116187671715712,"43",9.9341417150839,-392.641261867369,-359.37857613806,0.0704549057807369
0.219844410576849,0.155461698713428,0.096893772499203,0.00649331416853874,-0.0302632410855356,-0.0033811969004657,0.322669506104295,0.588495586813851,"44",10.6419314540052,-382.179935917779,-348.91725018847,0.0754746911631572
0.276259524768204,0.378892671188623,0.124990314809275,0.00685363514792909,-0.142743911611633,-0.00430153623118,0.186122864024588,0.148496747336309,"45",14.0306761996979,-340.16043354142,-306.897747812111,0.0995083418418289
0.132756759109905,0.173784092379407,0.0415645609369751,0.0147841395602304,-0.0493590964448396,-0.00664528770825688,0.433904742012899,0.712733879275728,"46",9.8443959639323,-394.020681116568,-360.757995387259,0.0698184110917185
0.186167835026014,0.28386647317184,0.0567578159145651,0.0079688249992016,-0.0601998331717523,-0.00835892225006939,0.518041087059671,0.543002803790276,"47",5.86706108205434,-472.688055334841,-439.425369605532,0.0416103622840733
0.449750309254337,0.400568448017608,0.117002750769209,0.00165899013300973,-0.098378321840291,-0.00294691566249597,0.119769414312644,0.274334050782132,"48",6.93949203029152,-447.171095410313,-413.908409681004,0.0492162555339824
0.127007134186746,0.410903671993657,0.0544995855337517,0.0171703394901285,-0.0603665924248621,-0.015357686194308,0.385277487533242,0.37428209463714,"49",10.6358775211669,-382.266429580479,-349.00374385117,0.0754317554692685
0.278782103697421,0.467956050313387,0.0698510061816553,0.018107618577303,-0.0654463752435138,-0.0149175429350691,0.175052531246387,0.275869511104483,"50",5.17196187980013,-491.855521429734,-458.592835700425,0.0366805807078023
0.15203466564698,0.268054614637107,0.076186831214916,0.0110294190954824,-0.063323620527667,-0.0060990016268481,0.466624286434715,0.601193429189894,"51",6.66103946904484,-453.395955750001,-420.133270020692,0.0472414146740769
0.32120534668938,0.31792978413783,0.102185451594006,0.000906327986596817,-0.0986032723318174,0.000342386986734216,0.145671315881562,0.136826184564772,"52",9.37215215055284,-401.492940393261,-368.230254663952,0.066469164188318
0.210940957311202,0.731282822688108,0.00233671765929771,0.00897984170689281,0.00135654018146213,-0.0144815417640443,0.269780041964861,-0.366723819446692,"53",6.7738810400521,-450.842561834851,-417.579876105542,0.0480417095039156
0.110137627740946,0.337493831760202,0.0543352797846486,0.00977612329671359,-0.0559097303868089,-0.0111219340043341,0.552344039109872,0.564827425909767,"54",7.08694391066597,-443.975199947918,-410.712514218609,0.0502620135508225
0.285549272905248,0.428808026584545,0.117818577474153,0.00431220977795978,-0.146198400158678,-0.00331546924716296,0.129562175198647,0.086021867860277,"55",10.164064244719,-389.163364458854,-355.900678729545,0.072085562019284
0.157424173478577,0.139407782264034,0.0801268579306304,0.0089991415674454,-0.0737425475109647,-0.00328080224425055,0.504988621837836,0.731475209066927,"56",13.9373893964896,-341.174421914966,-307.911736185657,0.0988467333084371
